season,pts,reb,ast,stl,blk,to,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%
1,21.1,11.9,2.7,0.7,2.5,3.4,8.6,15.7,0.549,0,0.1,0,3.9,5.9,0.662
2,21.7,11.4,2.4,0.9,2.5,2.9,8.4,16.9,0.495,0,0.1,0.143,4.9,7.2,0.69
3,23.2,12.4,3.2,0.9,2.2,3.3,8.5,17.3,0.49,0,0.1,0.091,6.2,8.1,0.761
4,22.2,12.2,3,0.9,2.3,3,8.6,17.1,0.499,0.1,0.3,0.259,5,8.1,0.618
5,25.5,12.7,3.7,0.7,2.5,3.2,9.3,18.3,0.508,0,0.1,0.1,6.8,8.5,0.799
6,23.3,12.9,3.9,0.7,2.9,3.1,8.8,17.2,0.513,0.1,0.3,0.273,5.6,7.8,0.71
7,22.3,12.4,3.1,0.9,2.7,2.7,8.6,17.1,0.501,0,0.2,0.167,5.1,8.5,0.599
8,20.3,11.1,2.7,0.7,2.6,1.9,7.8,15.8,0.496,0,0.1,0.333,4.6,6.9,0.67
9,18.6,11,3.2,0.9,2,2.5,7.2,14.8,0.484,0,0.1,0.4,4.2,6.7,0.629
10,20,10.6,3.4,0.8,2.4,2.8,7.7,14.1,0.546,0,0.1,0.111,4.5,7.1,0.637
11,19.3,11.3,2.8,0.7,1.9,2.3,7.5,15.1,0.497,0,0.1,0,4.3,5.9,0.73
12,19.3,10.7,3.5,0.5,1.7,2.2,7.4,14.8,0.504,0,0,0,4.5,6.4,0.692
13,17.9,10.1,3.2,0.6,1.5,1.8,7.2,13.9,0.518,0,0.1,0.182,3.5,4.8,0.725
14,13.4,8.9,2.7,0.7,1.9,1.6,5.5,11,0.5,0,0.1,0,2.4,3.4,0.716
15,15.4,9,2.3,0.7,1.5,1.7,6.2,12.6,0.492,0,0.1,0,3,4.3,0.695
16,17.8,9.9,2.7,0.7,2.7,2.1,7.1,14.1,0.502,0,0.1,0.286,3.6,4.3,0.817
17,15.1,9.7,3,0.6,1.9,2.1,6,12.2,0.49,0,0.1,0,3.1,4.3,0.731
18,13.9,9.1,3,0.8,2,1.7,5.4,10.6,0.512,0,0.1,0.286,3,4,0.74
19,8.6,7.3,2.7,0.8,1.3,1.5,3.5,7.2,0.488,0,0,0,1.5,2.1,0.702
