season,pts,rb,ast,stl,blk,to,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%
1,20.3,4.4,2.4,1,0.9,2.9,7.3,17.1,0.43,0.7,2.6,0.288,4.9,5.6,0.873
2,25.3,6.5,2.8,1.3,0.7,3,8.9,18.8,0.476,1.3,3.1,0.422,6.1,7.1,0.863
3,30.1,7.6,2.8,1.4,1,3.3,9.7,20.3,0.476,1.6,4.3,0.365,9.2,10.2,0.9
4,27.7,6.8,2.7,1.1,1,2.8,9.1,19.7,0.462,1.9,5.3,0.35,7.6,8.7,0.88
5,28,8,3.5,1.3,1.2,3.8,9.7,19.7,0.496,2,5.2,0.387,6.5,7.6,0.86
6,28.1,7.9,4.6,1.4,1.3,3.5,9,17.7,0.51,1.7,4.1,0.416,8.4,9.3,0.905
7,32,7.4,5.5,1.3,0.7,3.5,10.5,20.8,0.503,2.4,6.1,0.391,8.7,9.9,0.873
8,25.4,6.6,4.1,0.9,0.9,2.7,8.8,17.3,0.51,2.4,5.9,0.403,5.4,6.3,0.854
9,28.2,8.2,5,1,1.2,3.5,9.7,19.2,0.505,2.6,6.7,0.387,6.2,6.9,0.898
10,25.1,8.3,4.8,1.1,1.6,2.2,8.9,16.5,0.537,1.9,5,0.375,5.4,6.2,0.875
11,26.4,6.8,5.4,0.7,1.8,3,9.3,18,0.516,2.5,6.1,0.419,5.3,5.9,0.889
12,26,6.4,5.9,0.7,1.1,2.9,9.2,17.7,0.521,1.8,5,0.353,5.7,6.5,0.885
