season,pts,rb,ast,stl,blk,to,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%
1,9.9,3.2,1.8,1.1,0.3,1.4,3.1,7.6,0.403,1.2,3.3,0.375,2.6,3.2,0.808
2,12.2,3.1,2.1,1.1,0.3,1.3,3.6,8.3,0.436,1.4,4,0.349,3.5,4.2,0.843
3,16.8,4.1,3.7,1,0.2,2.2,5,10.1,0.491,1.8,4.7,0.39,5,6,0.846
4,25.9,4.9,5.8,1.8,0.5,3.8,7.5,17.1,0.438,2.3,6.2,0.368,8.6,10.2,0.851
5,25.4,4.7,6.1,1.6,0.4,3.6,7.5,16.5,0.456,2.4,6.6,0.366,7.9,9.1,0.866
6,27.4,5.7,7,1.9,0.7,4,8,18.1,0.44,2.6,6.9,0.375,8.8,10.2,0.868
7,29,6.1,7.5,1.7,0.6,4.6,8.7,19.7,0.439,2.9,8,0.359,8.8,10.2,0.86
8,29.1,8.1,11.2,1.5,0.5,5.7,8.3,18.9,0.44,3.2,9.3,0.347,9.2,10.9,0.847
9,30.4,5.4,8.8,1.8,0.7,4.4,9,20.1,0.449,3.7,10,0.367,8.7,10.1,0.858
10,36.1,6.6,7.5,2,0.7,5,10.8,24.5,0.442,4.8,13.2,0.368,9.7,11,0.879
11,34.4,6.4,7.4,1.7,0.9,4.5,9.9,22.7,0.435,4.4,12.6,0.352,10.1,11.8,0.861
