season,pts,reb,ast,stl,blk,to,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%
1,20.9,5.5,5.9,1.6,0.7,3.5,7.9,18.9,0.417,0.8,2.7,0.29,4.4,5.8,0.754
2,27.2,7.4,7.2,2.2,0.7,3.3,9.9,21.1,0.472,1.4,3.9,0.351,6,8,0.75
3,31.4,7,6.6,1.6,0.8,3.3,11.1,23.1,0.48,1.6,4.8,0.335,7.6,10.3,0.738
4,27.3,6.7,6,1.6,0.7,3.2,9.9,20.8,0.476,1.3,4,0.319,6.3,9,0.698
5,30,7.9,7.2,1.8,1.1,3.4,10.6,21.9,0.484,1.5,4.8,0.315,7.3,10.3,0.712
6,28.4,7.6,7.2,1.7,1.1,3,9.7,19.9,0.489,1.6,4.7,0.344,7.3,9.4,0.78
7,29.7,7.3,8.6,1.6,1,3.4,10.1,20.1,0.503,1.7,5.1,0.333,7.8,10.2,0.767
8,26.7,7.5,7,1.6,0.6,3.6,9.6,18.8,0.51,1.2,3.5,0.33,6.4,8.4,0.759
9,27.1,7.9,6.2,1.9,0.8,3.4,10,18.9,0.531,0.9,2.4,0.362,6.2,8.1,0.771
10,26.8,8,7.3,1.7,0.9,3,10.1,17.8,0.565,1.4,3.3,0.406,5.3,7,0.753
11,27.1,6.9,6.3,1.6,0.3,3.5,10,17.6,0.567,1.5,4,0.379,5.7,7.6,0.75
12,25.3,6,7.4,1.6,0.7,3.9,9,18.5,0.488,1.7,4.9,0.354,5.4,7.7,0.71
13,25.3,7.4,6.8,1.4,0.6,3.3,9.7,18.6,0.52,1.1,3.7,0.309,4.7,6.5,0.731
14,26.4,8.6,8.7,1.2,0.6,4.1,9.9,18.2,0.548,1.7,4.6,0.363,4.8,7.2,0.674
15,27.5,8.6,9.1,1.4,0.9,4.2,10.5,19.3,0.542,1.8,5,0.367,4.7,6.5,0.731
16,27.4,8.5,8.3,1.3,0.6,3.6,10.1,19.9,0.51,2,5.9,0.339,5.1,7.6,0.665
17,25.7,7.9,10.6,1.2,0.5,4,9.8,19.6,0.498,2.2,6.4,0.349,4,5.7,0.697
