season,pts,reb,ast,stl,blk,to,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%
1,28.2,6.5,5.9,2.4,0.8,3.5,10.2,19.8,0.515,0.1,0.6,0.173,7.7,9.1,0.845
2,22.7,3.6,2.9,2.1,1.2,2.5,8.3,18.2,0.457,0.2,1,0.167,5.8,6.9,0.84
3,37.1,5.2,4.6,2.9,1.5,3.3,13.4,27.8,0.482,0.1,0.8,0.182,10.2,11.9,0.857
4,35,5.5,5.9,3.2,1.6,3.1,13,24.4,0.535,0.1,0.6,0.132,8.8,10.5,0.841
5,32.5,8,8,2.9,0.8,3.6,11.9,22.2,0.538,0.3,1.2,0.276,8.3,9.8,0.85
6,33.6,6.9,6.3,2.8,0.7,3,12.6,24,0.526,1.1,3,0.376,7.2,8.5,0.848
7,31.5,6,5.5,2.7,1,2.5,12.1,22.4,0.539,0.4,1.1,0.312,7,8.2,0.851
8,30.1,6.4,6.1,2.3,0.9,2.5,11.8,22.7,0.519,0.3,1.3,0.27,6.1,7.4,0.832
9,32.6,6.7,5.5,2.8,0.8,2.7,12.7,25.7,0.495,1,2.9,0.352,6.1,7.3,0.837
10,26.9,6.9,5.3,1.8,0.8,2.1,9.8,23.8,0.411,0.9,1.9,0.5,6.4,8,0.801
11,30.4,6.6,4.3,2.2,0.5,2.4,11.2,22.6,0.495,1.4,3.2,0.427,6.7,8,0.834
12,29.6,5.9,4.3,1.7,0.5,2,11.2,23.1,0.486,1.4,3.6,0.374,5.9,7,0.833
13,28.7,5.8,3.5,1.7,0.5,2.3,10.7,23.1,0.465,0.4,1.5,0.238,6.9,8.8,0.784
14,22.9,5.7,5.2,1.4,0.4,2.7,9.2,22.1,0.416,0.2,0.9,0.189,4.4,5.6,0.79
15,20,6.1,3.8,1.5,0.5,2.1,8.3,18.6,0.445,0.2,0.7,0.291,3.2,4,0.821
