season,pts,rb,ast,stl,blk,to,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%
1,23.4,13.9,1.9,0.7,3.5,3.8,9,16.1,0.562,0,0,0,5.3,8.9,0.592
2,29.3,13.2,2.4,0.9,2.9,2.7,11.8,19.6,0.599,0,0,0,5.8,10.5,0.554
3,29.3,11.4,2.7,0.9,2.4,2.6,11.8,20.2,0.583,0,0.1,0,5.8,10.8,0.533
4,26.6,11,2.9,0.6,2.1,2.9,11,19.1,0.573,0,0,0.5,4.6,9.5,0.487
5,26.2,12.5,3.1,0.9,2.9,2.9,10.8,19.4,0.557,0,0.1,0,4.5,9.4,0.484
6,28.3,11.4,2.4,0.7,2.4,2.9,11.2,19.1,0.584,0,0,,6,11.4,0.527
7,26.3,10.7,2.3,0.7,1.7,2.5,10.4,18.1,0.576,0,0,0,5.5,10.2,0.54
8,29.7,13.6,3.8,0.5,3,2.8,12.1,21.1,0.574,0,0,0,5.5,10.4,0.524
9,28.7,12.7,3.7,0.6,2.8,2.9,11,19.2,0.572,0,0,0,6.7,13.1,0.513
10,27.2,10.7,3,0.6,2,2.6,10.6,18.3,0.579,0,0,0,5.9,10.7,0.555
11,27.5,11.1,3.1,0.6,2.4,2.9,10.4,18.1,0.574,0,0,,6.7,10.8,0.622
12,21.5,11.5,2.9,0.5,2.5,2.9,8.3,14.1,0.584,0,0,,4.9,10.1,0.49
13,22.9,10.4,2.7,0.5,2.3,2.8,9,15,0.601,0,0,,4.8,10.5,0.461
14,20,9.2,1.9,0.4,1.8,2.8,8.1,13.6,0.6,0,0,,3.7,8,0.469
15,17.3,7.4,2,0.2,1.4,2.4,7.1,12,0.591,0,0,,3.1,7.4,0.422
16,13.6,9.1,1.5,0.5,1.4,3,5.4,9.1,0.593,0,0,,2.8,5.5,0.503
17,14.2,7.8,1.4,0.6,1.6,3,5.8,10,0.581,0,0,,2.7,5.4,0.494
18,12.9,10.6,1.7,0.5,1.2,3,5,8.2,0.611,0,0,,2.9,5.7,0.513
19,17.8,8.4,1.7,0.7,1.4,2.2,6.8,11.2,0.609,0,0,0,4.1,6.9,0.595
20,12,6.7,1.5,0.3,1.2,2,4.9,8.7,0.566,0,0,0,2.1,4.3,0.496
21,9.2,4.8,0.7,0.4,1.1,1.5,3.6,5.4,0.667,0,0,,2,3.5,0.557
