season,pts,reb,ast,stl,blk,to,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%
1,16.1,5.1,7.8,2.2,0.1,2.3,5.2,12.1,0.43,0.6,2.3,0.282,5.1,6,0.847
2,17.3,4.4,8.9,1.8,0,2.5,6,13.6,0.437,0.8,2.2,0.35,4.6,5.6,0.818
3,21.1,4,11.6,2.7,0.1,2.5,7.9,16.1,0.488,1.2,3.1,0.369,4.2,4.9,0.851
4,22.8,5.5,11,2.8,0.1,3,8.1,16.1,0.503,0.8,2.3,0.364,5.8,6.7,0.868
5,18.7,4.2,10.7,2.1,0.2,2.5,7,14.2,0.493,1.2,2.8,0.409,3.6,4.2,0.847
6,15.9,4.1,9.8,2.4,0.1,2.2,5.4,11.6,0.463,0.9,2.3,0.388,4.2,4.8,0.878
7,19.8,3.6,9.1,2.5,0.1,2.1,7.1,14.8,0.478,1.3,3.6,0.371,4.3,5,0.861
8,16.9,3.7,9.7,2.4,0.1,2.3,5.9,12.2,0.481,1.1,3.3,0.328,4.1,4.6,0.885
9,19.1,4.3,10.7,2.5,0.1,2.3,6.5,14,0.467,1.3,3.4,0.368,4.8,5.6,0.855
10,19.1,4.6,10.2,1.9,0.2,2.3,6.9,14.3,0.485,1.7,4.3,0.398,3.5,3.9,0.9
11,19.5,4.2,10,2.1,0.2,2.6,7,15.1,0.462,1.6,4.4,0.371,4,4.4,0.896
12,18.1,5,9.2,2,0.1,2.4,6.1,12.9,0.476,2,5,0.411,3.8,4.3,0.892
13,18.6,5.4,7.9,1.7,0.2,2.2,6.3,13.8,0.46,2.5,6.5,0.38,3.5,3.8,0.919
14,15.6,4.6,8.2,2,0.3,2.6,5.2,12.4,0.419,2.2,6.1,0.358,3,3.5,0.862
15,17.7,4.9,6.8,1.6,0.1,2.2,6.3,12.8,0.489,1.6,4.4,0.362,3.6,4,0.9
