season,pts,reb,ast,stl,blk,to,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%
1,15.3,4.9,5.3,1.3,0.2,3.3,5.3,13.4,0.398,0.4,1.6,0.271,4.3,5.2,0.815
2,16.1,4.9,8,1.3,0.4,3.3,5.9,14.1,0.418,0.3,1.3,0.221,4,5.1,0.78
3,21.9,4.6,8.2,1.9,0.4,3.9,7.5,17,0.442,0.4,1.3,0.33,6.5,7.7,0.842
4,23.6,4.6,5.5,1.7,0.3,3.6,8.8,19.2,0.457,0.9,3,0.316,5.2,6.3,0.823
5,23.2,5.2,7.4,1.8,0.3,3.3,8.2,18.7,0.438,1.2,3.7,0.323,5.6,7,0.8
6,21.8,5.7,6.9,1.9,0.2,3.8,7.5,17.2,0.437,1.5,4.7,0.318,5.3,6.4,0.826
7,28.1,7.3,8.6,2.1,0.2,4.4,9.4,22,0.426,1.3,4.3,0.299,8.1,9.8,0.835
8,23.5,7.8,10.4,2,0.3,4.3,8.2,18.1,0.454,1.3,4.3,0.296,5.8,7.2,0.812
9,31.6,10.7,10.4,1.6,0.4,5.4,10.2,24,0.425,2.5,7.2,0.343,8.8,10.4,0.845
10,25.4,10.1,10.3,1.8,0.3,4.8,9.5,21.1,0.449,1.2,4.1,0.298,5.2,7.1,0.737
11,22.9,11.1,10.7,1.9,0.5,4.5,8.6,20.2,0.428,1.6,5.6,0.29,4.1,6.2,0.656
12,27.5,8,7,1.7,0.3,4.5,10.7,22.6,0.474,1,3.8,0.254,5.1,6.5,0.777
